m_bError = False | m_ID = 1 | m_mName = Hero_mName_1 | m_SkinId = 1011 | m_PreLoadID = 1 | m_Prefabs = hero_gongjianshou | m_Size = 0.75 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead001 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero011 | m_LargeMap = Hero011 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/gongshou | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 5 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 260 | m_MoveSpeed = 240 | m_BasePhyAtt = 117 | m_BaseMagAtt = 0 | m_AttSpeed = 10625 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2524 | m_FightHpRec = 30 | m_BaseMp = 445 | m_FightMpRec = 15 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1550 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 26500 | m_PhyLevelShield = 324 | m_MagLevelShield = 170 | m_LevelHp = 13850 | m_HPLevelRec = 112 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_1 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 2 | m_mName = Hero_mName_2 | m_SkinId = 1021 | m_PreLoadID = 2 | m_Prefabs = hero_fuwang | m_Size = 0.86 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead002 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero021 | m_LargeMap = Hero021 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 31 | m_BaseSpeed = 270 | m_MoveSpeed = 260 | m_BasePhyAtt = 119 | m_BaseMagAtt = 0 | m_AttSpeed = 10625 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 25 | m_MagBaseShield = 10 | m_BaseHp = 2716 | m_FightHpRec = 47 | m_BaseMp = 0 | m_FightMpRec = 0 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 845 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 383 | m_MagLevelShield = 170 | m_LevelHp = 24600 | m_HPLevelRec = 300 | m_LevelMp = 0 | m_MPLevelRec = 0 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_2 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 3 | m_mName = Hero_mName_3 | m_SkinId = 1031 | m_PreLoadID = 3 | m_Prefabs = hero_shikongjianhao | m_Size = 0.78 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead003 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero031 | m_LargeMap = Hero031 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/cike | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 3 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 260 | m_MoveSpeed = 260 | m_BasePhyAtt = 118 | m_BaseMagAtt = 0 | m_AttSpeed = 10875 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2599 | m_FightHpRec = 35 | m_BaseMp = 443 | m_FightMpRec = 16 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 975 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 320 | m_MagLevelShield = 170 | m_LevelHp = 15000 | m_HPLevelRec = 225 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_3 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 4 | m_mName = Hero_mName_4 | m_SkinId = 1041 | m_PreLoadID = 4 | m_Prefabs = hero_xixuegui | m_Size = 0.79 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead004 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero041_add | m_LargeMap = Hero041_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 28 | m_BaseSpeed = 280 | m_MoveSpeed = 240 | m_BasePhyAtt = 114 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 21 | m_MagBaseShield = 10 | m_BaseHp = 2573 | m_FightHpRec = 36 | m_BaseMp = 493 | m_FightMpRec = 18 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 555 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 10000 | m_PhyLevelShield = 340 | m_MagLevelShield = 170 | m_LevelHp = 20150 | m_HPLevelRec = 150 | m_LevelMp = 11000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_4 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 5 | m_mName = Hero_mName_5 | m_SkinId = 1051 | m_PreLoadID = 5 | m_Prefabs = hero_nana | m_Size = 0.67 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead005 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero051_add | m_LargeMap = Hero051_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 250 | m_BasePhyAtt = 115 | m_BaseMagAtt = 0 | m_AttSpeed = 10800 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2501 | m_FightHpRec = 34 | m_BaseMp = 510 | m_FightMpRec = 18 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 735 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 25000 | m_PhyLevelShield = 300 | m_MagLevelShield = 170 | m_LevelHp = 13000 | m_HPLevelRec = 150 | m_LevelMp = 11000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_5 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 6 | m_mName = Hero_mName_6 | m_SkinId = 1061 | m_PreLoadID = 6 | m_Prefabs = hero_snow | m_Size = 0.82 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead006 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero061_add | m_LargeMap = Hero061_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/tanke | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 1 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 34 | m_BaseSpeed = 280 | m_MoveSpeed = 260 | m_BasePhyAtt = 112 | m_BaseMagAtt = 0 | m_AttSpeed = 10325 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 25 | m_MagBaseShield = 10 | m_BaseHp = 2890 | m_FightHpRec = 42 | m_BaseMp = 450 | m_FightMpRec = 12 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 680 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 400 | m_MagLevelShield = 170 | m_LevelHp = 27200 | m_HPLevelRec = 300 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_6 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 7 | m_mName = Hero_mName_7 | m_SkinId = 1071 | m_PreLoadID = 7 | m_Prefabs = hero_alucard | m_Size = 0.8 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead007 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero071 | m_LargeMap = Hero071 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 28 | m_BaseSpeed = 270 | m_MoveSpeed = 260 | m_BasePhyAtt = 123 | m_BaseMagAtt = 0 | m_AttSpeed = 11250 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 21 | m_MagBaseShield = 10 | m_BaseHp = 2821 | m_FightHpRec = 39 | m_BaseMp = 0 | m_FightMpRec = 0 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 865 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 30000 | m_PhyLevelShield = 380 | m_MagLevelShield = 170 | m_LevelHp = 21000 | m_HPLevelRec = 225 | m_LevelMp = 0 | m_MPLevelRec = 0 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_7 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 8 | m_mName = Hero_mName_8 | m_SkinId = 1081 | m_PreLoadID = 8 | m_Prefabs = hero_pofa | m_Size = 0.79 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead008 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero081_add | m_LargeMap = Hero081_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/cike | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 3 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 260 | m_MoveSpeed = 260 | m_BasePhyAtt = 121 | m_BaseMagAtt = 0 | m_AttSpeed = 11250 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 20 | m_MagBaseShield = 10 | m_BaseHp = 2633 | m_FightHpRec = 39 | m_BaseMp = 431 | m_FightMpRec = 16 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 825 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 30000 | m_PhyLevelShield = 370 | m_MagLevelShield = 170 | m_LevelHp = 18780 | m_HPLevelRec = 225 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_8 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 9 | m_mName = Hero_mName_9 | m_SkinId = 1091 | m_PreLoadID = 9 | m_Prefabs = hero_xiongmao | m_Size = 0.84 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead009 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero091_add | m_LargeMap = Hero091_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/tanke | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 1 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 34 | m_BaseSpeed = 280 | m_MoveSpeed = 260 | m_BasePhyAtt = 115 | m_BaseMagAtt = 0 | m_AttSpeed = 10625 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 24 | m_MagBaseShield = 10 | m_BaseHp = 2769 | m_FightHpRec = 42 | m_BaseMp = 422 | m_FightMpRec = 12 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 565 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 290 | m_MagLevelShield = 170 | m_LevelHp = 22800 | m_HPLevelRec = 300 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_9 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 10 | m_mName = Hero_mName_10 | m_SkinId = 1101 | m_PreLoadID = 10 | m_Prefabs = hero_franco | m_Size = 0.8 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead010 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero101_add | m_LargeMap = Hero101_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/tanke | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 1 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 34 | m_BaseSpeed = 360 | m_MoveSpeed = 260 | m_BasePhyAtt = 116 | m_BaseMagAtt = 0 | m_AttSpeed = 10325 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 25 | m_MagBaseShield = 10 | m_BaseHp = 2709 | m_FightHpRec = 46 | m_BaseMp = 440 | m_FightMpRec = 10 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 725 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 15000 | m_PhyLevelShield = 400 | m_MagLevelShield = 170 | m_LevelHp = 26600 | m_HPLevelRec = 340 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_10 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 11 | m_mName = Hero_mName_11 | m_SkinId = 1111 | m_PreLoadID = 11 | m_Prefabs = hero_newchuanzhang | m_Size = 0.8 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead011 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero111_add | m_LargeMap = Hero111_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 34 | m_BaseSpeed = 360 | m_MoveSpeed = 260 | m_BasePhyAtt = 117 | m_BaseMagAtt = 0 | m_AttSpeed = 10625 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 23 | m_MagBaseShield = 10 | m_BaseHp = 2659 | m_FightHpRec = 42 | m_BaseMp = 433 | m_FightMpRec = 12 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 791 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 355 | m_MagLevelShield = 170 | m_LevelHp = 23000 | m_HPLevelRec = 300 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_11 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
